"Data","Último","Abertura","Máxima","Mínima","Var%"
"Abr 03","2,9110","3,3650","3,3650","2,8710","-13,47%"
"Mar 03","3,3640","3,5660","3,5850","3,3230","-5,77%"
"Fev 03","3,5700","3,5020","3,6830","3,4500","1,88%"
"Jan 03","3,5040","3,5380","3,6910","3,2380","-1,02%"
"Dez 02","3,5400","3,5550","3,8260","3,4050","-3,09%"
"Nov 02","3,6530","3,6200","3,7330","3,4650","0,08%"
"Out 02","3,6500","3,7440","4,0190","3,5190","-2,93%"
"Set 02","3,7600","3,0100","3,9540","3,0050","25,02%"
"Ago 02","3,0075","3,4525","3,4525","2,8525","-13,08%"
"Jul 02","3,4600","2,8380","3,6260","2,8100","22,80%"
"Jun 02","2,8175","2,5195","2,8915","2,5125","11,89%"
"Mai 02","2,5180","2,3610","2,5520","2,3610","6,65%"
"Abr 02","2,3610","2,3260","2,3770","2,2520","1,55%"
"Mar 02","2,3250","2,3640","2,3860","2,3140","-1,69%"
"Fev 02","2,3650","2,4120","2,4930","2,3360","-1,99%"
"Jan 02","2,4130","2,3110","2,4700","2,2770","4,41%"
"Dez 01","2,3110","2,4940","2,4960","2,2740","-7,37%"
"Nov 01","2,4950","2,6720","2,6720","2,4480","-7,46%"
"Out 01","2,6960","2,6940","2,8070","2,6590","0,97%"
"Set 01","2,6700","2,5653","2,8400","2,5480","4,13%"
"Ago 01","2,5640","2,4790","2,5830","2,4380","3,68%"
"Jul 01","2,4730","2,3180","2,6080","2,3090","7,03%"
"Jun 01","2,3105","2,3795","2,4845","2,2665","-2,96%"
"Mai 01","2,3810","2,2000","2,3860","2,1920","8,18%"
"Abr 01","2,2010","2,1520","2,3110","2,1320","2,23%"
"Mar 01","2,1530","2,0470","2,1780","2,0150","5,21%"
"Fev 01","2,0463","1,9708","2,0507","1,9708","3,82%"
"Jan 01","1,9710","1,9508","1,9810","1,9300","1,08%"
